realProfileID,venue,year,title,authors
1306,SIGMOD Conference,2003,QXtract: A Building Block for Efficient Information Extraction from Plain-Text Databases,"Luis Gravano, Eugene Agichtein"
1307,SIGMOD Record,1997,Information Systems Research at George Mason University,"Sushil Jajodia, Amihai Motro, Edgar H. Sibley, Alexander Brodsky, Larry Kerschberg, Xiaoyang Sean Wang, Daniel Barbar�"
1308,ACM Trans. Database Syst.,2001,Answering queries with useful bindings,"Edward Y. Chang, Chen Li"
1309,ACM Trans. Database Syst.,1996,Heraclitus: Elevating Deltas to be First-Class Citizens in a Database Programming Language,"Dean Jacobs, Shahram Ghandeharizadeh, Richard Hull"
1310,VLDB,1996,Using Referential Integrity To Easily Define Consistent Subset Replicas,Brad Hammond
1311,SIGMOD Conference,1997,SENTINEL: An Object-Oriented DBMS With Event-Based Rules,Sharma Chakravarthy
1312,VLDB,1996,PESTO : An Integrated Query/Browser for Object Databases,"Laura M. Haas, Michael J. Carey, Vivekananda Maganty, John H. Williams"
1313,SIGMOD Record,1997,Integrating Modelling Systems for Environmental Management Information Systems,"David J. Abel, Dean Kuo, Kerry L. Taylor"
1314,VLDB J.,2002,TIMBER: A native XML database,"Andrew Nierman, Cong Yu, Jignesh M. Patel, Adriane Chapman, Nuwee Wiwatwattana, H. V. Jagadish, Yuqing Wu, Laks V. S. Lakshmanan, Divesh Srivastava, Shurug Al-Khalifa, Stelios Paparizos"
1315,SIGMOD Conference,1998,NoDoSE - A Tool for Semi-Automatically Extracting Semi-Structured Data from Text Documents,Brad Adelberg
1316,VLDB,2001,Distinct Sampling for Highly-Accurate Answers to Distinct Values Queries and Event Reports,Phillip B. Gibbons
1317,SIGMOD Record,1996,Report on First International Workshop on Real-Time Database Systems,"Sang Hyuk Son, Kwei-Jay Lin, Azer Bestavros"
1318,SIGMOD Record,1996,Real-Time Index Concurrency Control,"S. Seshadri, Jayant R. Haritsa"
1319,SIGMOD Conference,1997,Efficiently Supporting Ad Hoc Queries in Large Datasets of Time Sequences,"H. V. Jagadish, Christos Faloutsos, Flip Korn"
1320,VLDB,1999,Extending Practical Pre-Aggregation in On-Line Analytical Processing,"Torben Bach Pedersen, Curtis E. Dyreson, Christian S. Jensen"
1321,SIGMOD Record,2003,Call for Book Reviews,Karl Aberer
1322,SIGMOD Conference,2003,CMVF: A Novel Dimension Reduction Scheme for Efficient Indexing in A Large Image Database,"John Shepherd, Quan Z. Sheng, Du Q. Huynh, Jialie Shen, Anne H. H. Ngu"
1323,SIGMOD Conference,1998,Your Mediators Need Data Conversion!,"Sophie Cluet, Katarzyna Smaga, J�r�me Sim�on, Claude Delobel"
1324,SIGMOD Record,2000,Generating Spatiotemporal Datasets on the WWW,"Mario A. Nascimento, Yannis Theodoridis"
1325,VLDB,2001,Enabling End-users to Construct Data-intensive Web-sites from XML Repositories: An Example-based Approach,"Hiroyuki Kitagawa, Satoshi Takano, Seiichi Koizumi, Atsuyuki Morishima"
1326,SIGMOD Conference,1997,The COntext INterchange Mediator Prototype,"Kofi Fynn, Henry B. Kon, Cheng Hian Goh, Thomas Lee, St�phane Bressan, Stuart E. Madnick, Michael Siegel, Annie W. Shum, Marta Jessica Jakobisiak, Tito Pena, Jessica Qu, Karim Hussein"
1327,VLDB,1997,1-Safe Algorithms for Symmetric Site Configurations,"Maitrayi Sabaratnam, �ystein Torbj�rnsen, Rune Humborstad, Svein-Olaf Hvasshovd"
1328,SIGMOD Record,1996,A Framework for Information Visualisation,"Peter J. Barclay, Kenneth J. Mitchell, Jessie B. Kennedy"
1329,SIGMOD Record,2002,Introduction to Constraint Databases - Book Review,Bart Kuijpers
1330,ACM Trans. Database Syst.,1999,Broadcast Protocols to Support Efficient Retrieval from Databases by Mobile Users,"Anindya Datta, Vijay Kumar, Aslihan Celik, Debra E. VanderMeer"
1331,SIGMOD Conference,1998,Bitmap Index Design and Evaluation,"Yannis E. Ioannidis, Chee Yong Chan"
1332,SIGMOD Record,2003,Book review column,Karl Aberer
1333,SIGMOD Record,2003,Analysis of existing databases at the logical level: the DBA companion project,"Fabien De Marchi, Jean-Marc Petit, Farouk Toumani, St�phane Lopes"
1334,SIGMOD Conference,1996,A Framework for Supporting Data Integration Using the Materialized and Virtual Approaches,"Gang Zhou, Richard Hull"
1335,SIGMOD Conference,2000,From Browsing to Interacting: DBMS Support for Responive Websites (Abstract),Raghu Ramakrishnan
1336,SIGMOD Conference,1995,Enterprise Transaction Processing on Windows NT,Greg Hope
1337,SIGMOD Record,1999,Semantic Integration of Semistructured and Structured Data Sources,"Sonia Bergamaschi, Maurizio Vincini, Silvana Castano"
1338,SIGMOD Conference,1997,Picture Programming Project,"Nita Goyal, Mosh� M. Zloof, Charles Hoch, Michael Suckow, Ravi Krishnamurthy, Brian Meckler"
1339,SIGMOD Conference,2000,AJAX: An Extensible Data Cleaning Tool,"Daniela Florescu, Helena Galhardas, Dennis Shasha, Eric Simon"
1340,VLDB,2003,Tuple Routing Strategies for Distributed Eddies,"Feng Tian, David J. DeWitt"
1341,VLDB,1999,Aqua: A Fast Decision Support Systems Using Approximate Query Answers,"Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala"
1342,VLDB,2003,Systematic Development of Data Mining-Based Data Quality Tools,"Matthias Jarke, Udo Grimmer, Dominik L�bbers"
1343,SIGMOD Conference,2002,XL: a platform for web services,"Andreas Gr�nhagen, Steffen Rost, Donald Kossmann, Daniela Florescu"
1344,VLDB,2002,Exploiting Versions for On-line Data Warehouse Maintenance in MOLAP Servers,"Heum-Geun Kang, Chin-Wan Chung"
1345,SIGMOD Conference,1994,Optimizing Disjunctive Queries with Expensive Predicates,"Alfons Kemper, Guido Moerkotte, Michael Steinbrunn, Klaus Peithner"
1346,VLDB,1994,An Approach for Building Secure Database Federations,"Klaus R. Dittrich, Dirk Jonscher"
1347,VLDB J.,2000,Guest Editorial: Databases and the Web,"Alberto O. Mendelzon, Paolo Atzeni"
1348,SIGMOD Record,1996,Guidelines for Presentation and Comparison of Indexing Techniques,"Kotagiri Ramamohanarao, Alistair Moffat, Justin Zobel"
1349,VLDB,2002,A Bandwidth Model for Internet Search,Axel Uhl
1350,SIGMOD Conference,2003,A System for Watermarking Relational Databases,"Peter J. Haas, Rakesh Agrawal, Jerry Kiernan"
1351,VLDB,2001,Mining Multi-Dimensional Constrained Gradients in Data Cubes,"Jiawei Han, Ke Wang, Joyce M. W. Lam, Guozhu Dong, Jian Pei"
1352,SIGMOD Conference,2003,A Comprehensive XQuery to SQL Translation using Dynamic Interval Encoding,"M. Tamer �zsu, David Toman, Mariano P. Consens, David DeHaan"
1353,SIGMOD Record,2001,Advanced XML Data Processing - Guest Editor's Introduction,Karl Aberer
1354,VLDB J.,1996,An Asymptotically Optimal Multiversion B-Tree,"Thomas Ohler, Peter Widmayer, Bruno Becker, Stephan Gschwind, Bernhard Seeger"
1355,SIGMOD Record,2003,Interview with Rakesh Agrawal,Marianne Winslett
1356,SIGMOD Conference,1997,Supporting Multiple View Maintenance Policies,"Latha S. Colby, Kenneth A. Ross, Akira Kawaguchi, Daniel F. Lieuwen, Inderpal Singh Mumick"
1357,SIGMOD Conference,1998,FlowBack: Providing Backward Recovery for Workflow Systems,"Maria E. Orlowska, Ralf M�hlberger, Bartek Kiepuszewski"
1358,VLDB,1994,Towards Event-Driven Modelling for Database Design,"Maguelonne Teisseire, Pascal Poncelet, Rosine Cicchetti"
1359,SIGMOD Conference,2000,Congressional Samples for Approximate Answering of Group-By Queries,"Viswanath Poosala, Swarup Acharya, Phillip B. Gibbons"
1360,VLDB J.,1997,A Configrable Type Hierarchy Index for OODB,"Thomas A. M�ck, Martin L. Polaschek"
1361,VLDB J.,2000,Functional-Join Processing,"Reinhard Braumandl, Alfons Kemper, Donald Kossmann, Jens Clau�en"
1362,SIGMOD Conference,1998,AutoAdmin 'What-if' Index Analysis Utility,"Surajit Chaudhuri, Vivek R. Narasayya"
1363,SIGMOD Conference,2002,Efficient k-NN search on vertically decomposed data,"Niels Nes, Martin L. Kersten, Nikos Mamoulis, Arjen P. de Vries"
1364,SIGMOD Conference,1999,"``Honey, I Shrunk the DBMS'': Footprint, Mobility, and Beyond (Panel)",Praveen Seshadri
1365,VLDB,1994,The Impact of Global Clustering on Spatial Database Systems,"Thomas Brinkhoff, Hans-Peter Kriegel"
1366,VLDB,1994,Access to Objects by Path Expressions and Rules,"J�rgen Frohn, Georg Lausen, Heinz Uphoff"
1367,VLDB,2002,A Multi-version Cache Replacement and Prefetching Policy for Hybrid Data Delivery Environments,"Andr� Seifert, Marc H. Scholl"
1368,SIGMOD Conference,1994,On Parallel Execution of Multiple Pipelined Hash Joins,"Philip S. Yu, Hui-I Hsiao, Ming-Syan Chen"
1369,ACM Trans. Database Syst.,2003,Preference formulas in relational queries,Jan Chomicki
1370,SIGMOD Record,2002,Supply Chain Infrastructures: System Integration and Information Sharing,"Michael O. Ball, Louiqa Raschid, Meng Ma, Zhengying Zhao"
1371,VLDB,1997,Critical Database Technologies for High Energy Physics,"David M. Malon, Edward N. May"
1372,SIGMOD Record,2000,Chair's Message,Richard T. Snodgrass
1373,SIGMOD Conference,2003,Composing XSL Transformations with XML Publishing Views,"Chengkai Li, P. P. S. Narayan, Henry F. Korth, Philip Bohannon"
1374,SIGMOD Conference,1995,Informix Online XPS,Robert H. Gerber
1375,ACM Trans. Database Syst.,2003,Analysis of predictive spatio-temporal queries,"Dimitris Papadias, Jimeng Sun, Yufei Tao"
1376,SIGMOD Conference,1994,Quickly Generating Billion-Record Synthetic Databases,"Susanne Englert, Jim Gray, Kenneth Baclawski, Peter J. Weinberger, Prakash Sundaresan"
1377,VLDB,2003,Projecting XML Documents,"Am�lie Marian, J�r�me Sim�on"
1378,VLDB,1996,Sampling Large Databases for Association Rules,Hannu Toivonen
1379,VLDB,1995,A Performance Evaluation of OID Mapping Techniques,"Andr� Eickler, Carsten Andreas Gerlhof, Donald Kossmann"
1380,SIGMOD Record,2001,"Jeffrey D. Ullman Speaks Out on the Future of Higher Education, Startups, Database Theory, and More",Marianne Winslett
1381,SIGMOD Record,1995,Political Winds Change Direction Again,Xiaolei Qian
1382,VLDB,2000,Rethinking Database System Architecture: Towards a Self-Tuning RISC-Style Database System,"Surajit Chaudhuri, Gerhard Weikum"
1383,VLDB J.,2000,Online dynamic reordering,"Bhaskaran Raman, Joseph M. Hellerstein, Vijayshankar Raman"
1384,VLDB J.,1995,HyperFile: A Data and Query Model for Documents,"David Bloom, Chris Clifton, Hector Garcia-Molina"
1385,SIGMOD Record,1998,A Case for Intelligent Disks (IDISKs),"Kimberly Keeton, Joseph M. Hellerstein, David A. Patterson"
1386,SIGMOD Conference,2002,Learning table access cardinalities with LEO,"Volker Markl, Guy M. Lohman"
1387,SIGMOD Record,1995,Implementing Deletion in B+-Trees,Jan Jannink
1388,VLDB,1999,Implementation of Two Semantic Query Optimization Techniques in DB2 Universal Database,"K. Bernhard Schiefer, Fred Koo, T. Y. Cliff Leung, Linqi Liu, Jarek Gryz, Xiaoyan Qian, Qi Cheng"
1389,VLDB,1997,Multiple-View Self-Maintenance in Data Warehousing Environments,Nam Huyn
1390,SIGMOD Conference,1994,Oracle Media Server: Providing Consumer Based Interactive Access to Multimedia Data,"Mark Porter, Andrew Laursen, Jeffrey Olkin"
1391,SIGMOD Conference,2000,A Framework for Expressing and Combining Preferences,"Edward L. Wimmers, Rakesh Agrawal"
1392,SIGMOD Conference,1994,The MYRIAD Federated Database Prototype,"K. Mediratta, Ee-Peng Lim, J. Stenoien, S. Musukula, Jaideep Srivastava, H.-R. Yang, D. Clements, M. Ganesh, San-Yih Hwang"
1393,SIGMOD Conference,1998,Xmas: An Extensible Main-Memory Storage System for High-Performance Applications,"Ki Hong Kim, Yong Sik Kwon, Sang Kyun Cha, Jang Ho Park, Byoung Dae Park, Sangho Lee"
1394,VLDB,2002,Effective Change Detection Using Sampling,"Alexandros Ntoulas, Junghoo Cho"
1395,VLDB,1994,Qualified Answers That Reflect User Needs and Preferences,"Terry Gaasterland, Jorge Lobo"
1396,SIGMOD Record,2001,Constraints for Semi-structured Data and XML,"Wenfei Fan, Peter Buneman, Scott Weinstein, J�r�me Sim�on"
1397,SIGMOD Record,1995,Trade Press News,Rafael Alonso
1398,SIGMOD Record,1995,ACM Multimedia '94 Conference Workshop on Multimedia Database Management Systems,"P. Bruce Berra, Bhavani M. Thuraisingham, Kingsley C. Nwosu"
1399,SIGMOD Record,2003,Book review column,Karl Aberer
1400,SIGMOD Conference,2001,Independence is Good: Dependency-Based Histogram Synopses for High-Dimensional Data,"Amol Deshpande, Rajeev Rastogi, Minos N. Garofalakis"
1401,VLDB,2002,XMark: A Benchmark for XML Data Management,"Martin L. Kersten, Ralph Busse, Florian Waas, Michael J. Carey, Albrecht Schmidt, Ioana Manolescu"
1402,SIGMOD Record,2003,Chair's Message,M. Tamer �zsu
1403,VLDB J.,1998,Approximate Similarity Retrieval with M-Trees,"Fausto Rabitti, Giuseppe Amato, Pavel Zezula, Pasquale Savino"
1404,VLDB,1999,Finding Intensional Knowledge of Distance-Based Outliers,"Raymond T. Ng, Edwin M. Knorr"
1405,SIGMOD Conference,1997,Highly Concurrent Cache Consistency for Indices in Client-Server Database Systems,"Michael J. Carey, Markos Zaharioudakis"
1406,ACM Trans. Database Syst.,1994,A Taxonomy for Secure Object-Oriented Databases,"Sebastiaan H. von Solms, Martin S. Olivier"
1407,SIGMOD Conference,2000,XTRACT: A System for Extracting Document Type Descriptors from XML Documents,"Rajeev Rastogi, S. Seshadri, Minos N. Garofalakis, Aristides Gionis, Kyuseok Shim"
1408,VLDB,2003,ATLAS: A Small but Complete SQL Extension for Data Mining and Data Streams,"Haixun Wang, Chang Luo, Carlo Zaniolo"
1409,SIGMOD Conference,2001,Filtering Algorithms and Implementation for Very Fast Publish/Subscribe,"Kenneth A. Ross, Fran�oise Fabret, Fran�ois Llirbat, Jo�o Pereira, Hans-Arno Jacobsen, Dennis Shasha"
1410,SIGMOD Conference,1995,Towards an Effective Calculus for Object Query Languages,"David Maier, Leonidas Fegaras"
1411,SIGMOD Record,2003,XML schema,"Jim Melton, Charles E. Campbell, Andrew Eisenberg"
1412,VLDB,1995,Document Management as a Database Problem,Rudolf Bayer
1413,VLDB,1997,Fast Incremental Maintenance of Approximate Histograms,"Yossi Matias, Phillip B. Gibbons, Viswanath Poosala"
1414,SIGMOD Conference,2001,Minimization of Tree Pattern Queries,"Sihem Amer-Yahia, Divesh Srivastava, Laks V. S. Lakshmanan, SungRan Cho"
1415,SIGMOD Conference,1999,A User-Centered Interface for Querying Distributed Multimedia Databases,"Kimberly M. James, Isabel F. Cruz"
1416,VLDB,1998,Evaluating Functional Joins Along Nested Reference Sets in Object-Relational and Object-Oriented Databases,"Alfons Kemper, Reinhard Braumandl, Jens Clau�en"
1417,VLDB,1996,The Query Optimizer in Tandem's new ServerWare SQL Product,Pedro Celis
1418,VLDB,2001,Self-similarity in the Web,"Stephen Dill, Andrew Tomkins, Ravi Kumar, Sridhar Rajagopalan, Kevin S. McCurley, D. Sivakumar"
1419,SIGMOD Record,2003,Developments at ACM TODS,Richard T. Snodgrass
1420,VLDB,2001,SIT-IN: a Real-Life Spatio-Temporal Information System,"Stefano De Francisci, Rossella Molinaro, Orietta Gargano, Mario Paolucci, Leonardo Tininini, Giuseppe Sindoni, Paola Patteri, Amedea Ambrosetti, Pina Ticca, Cristina Bedeschi"
1421,ACM Trans. Database Syst.,1998,Conceptual Schema Analysis: Techniques and Applications,"Valeria De Antonellis, Barbara Pernici, Maria Grazia Fugini, Silvana Castano"
1422,VLDB,1998,On the Discovery of Interesting Patterns in Association Rules,"Sridhar Ramaswamy, Sameer Mahajan, Abraham Silberschatz"
1423,VLDB,1995,"DB2 Common Server: Technology, Progress, & Directions",Bruce G. Lindsay
1424,SIGMOD Conference,2001,Models and Languages for Describing and Discovering E-Services,"Ming-Chien Shan, Fabio Casati"
1425,ACM Trans. Database Syst.,2002,Distributed query evaluation on semistructured data,Dan Suciu
1426,VLDB,1996,Database Management Systems and the Internet,Susan Malaika
1427,VLDB,2001,Estimating the Selectivity of XML Path Expressions for Internet Scale Applications,"Ashraf Aboulnaga, Jeffrey F. Naughton, Alaa R. Alameldeen"
1428,VLDB,2002,Active XML: Peer-to-Peer Data and Web Services Integration,"Tova Milo, Roger Weber, Ioana Manolescu, Omar Benjelloun, Serge Abiteboul"
1429,VLDB,2000,A 20/20 Vision of the VLDB-2020?,"Shamkant B. Navathe, Erich J. Neuhold, Gio Wiederhold, Anant Jhingran, S. Misbah Deen"
1430,SIGMOD Record,2002,A Brief Survey of Web Data Extraction Tools,"Berthier A. Ribeiro-Neto, Alberto H. F. Laender, Altigran Soares da Silva, Juliana S. Teixeira"
1431,SIGMOD Record,1994,Editor's Notes,Arie Segev
1432,VLDB,1999,"PM3: An Orthogonal Persistent Systems Programming Language - Design, Implementation, Performance","Antony L. Hosking, Jiawan Chen"
1433,SIGMOD Conference,1996,Query Execution Techniques for Caching Expensive Methods,"Joseph M. Hellerstein, Jeffrey F. Naughton"
1434,SIGMOD Conference,2001,Online Query Processing,"Peter J. Haas, Joseph M. Hellerstein"
1435,SIGMOD Conference,1997,"Lessons from Wall Street: Case Studies in Configuration, Tuning, and Distribution (Tutorial)",Dennis Shasha
1436,ACM Trans. Database Syst.,1995,Declarative Updates of Relational Databases,Weidong Chen
1437,VLDB,1994,Providing Dynamic Security Control in a Federated Database,"R. F. Churchhouse, W. A. Gray, N. B. Idris"
1438,SIGMOD Record,2001,"Semantic Web Workshop: Models, Architectures and Management","Vassilis Christophides, Dimitris Plexousakis, Panos Constantopoulos"
1439,VLDB,1994,Persistent Threads,"Joachim W. Schmidt, Florian Matthes"
1440,SIGMOD Conference,1997,Secure Transaction Processing in Firm Real-Time Database Systems,"Binto George, Jayant R. Haritsa"
1441,VLDB,1995,Flexible Relations - Operational Support of Variant Relational Structures,"Peter Dadam, Christian Kalus"
1442,VLDB J.,1996,Mariposa: A Wide-Area Distributed Database System,"Carl Staelin, Paul M. Aoki, Witold Litwin, Michael Stonebraker, Adam Sah, Jeff Sidell, Andrew Yu, Avi Pfeffer"
1443,SIGMOD Record,2002,Report on the Semantic Web Workshop at WWW 2002,"Martin R. Frank, Natalya Fridman Noy, Steffen Staab"
1444,SIGMOD Record,1994,Overview of the Special Section on Temporal Database Infrastructure,Richard T. Snodgrass
1445,VLDB,2003,Path Queries on Compressed XML,"Martin Grohe, Peter Buneman, Christoph Koch"
1446,SIGMOD Conference,1999,A Comparison of Selectivity Estimators for Range Queries on Metric Attributes,"Bernhard Seeger, Bj�rn Blohsfeld, Dieter Korus"
1447,SIGMOD Conference,1996,The Dangers of Replication and a Solution,"Dennis Shasha, Jim Gray, Patrick E. O'Neil, Pat Helland"
1448,SIGMOD Conference,1995,The Query By Image Content (QBIC) System,"Denis Lee, Wayne Niblack, James L. Hafner, Dragutin Petkovic, Myron Flickner, Jonathan Ashley"
1449,SIGMOD Record,2003,Distributed deviation detection in sensor networks,"Dimitrios Gunopulos, Themistoklis Palpanas, Dimitris Papadopoulos, Vana Kalogeraki"
1450,SIGMOD Record,1995,Response to A Close Look at the IFO Data Model,"Serge Abiteboul, Richard Hull"
1451,VLDB,1996,Query Decomposition and View Maintenance for Query Languages for Unstructured Data,Dan Suciu
1452,VLDB,2001,"Et tu, XML? The downfall of the relational empire (abstract)",Philip Wadler
1453,VLDB,1998,Scalable Sweeping-Based Spatial Join,"Lars Arge, Jeffrey Scott Vitter, Torsten Suel, Sridhar Ramaswamy, Octavian Procopiuc"
1454,VLDB,1998,Algorithms for Mining Association Rules for Binary Segmentations of Huge Categorical Databases,"Kunikazu Yoda, Hirofumi Matsuzawa, Takeshi Tokuyama, Yasuhiko Morimoto, Takeshi Fukuda"
1455,SIGMOD Conference,2002,Selectivity estimation for spatio-temporal queries to moving objects,"Yong-Jin Choi, Chin-Wan Chung"
1456,VLDB,2001,Surfing Wavelets on Streams: One-Pass Summaries for Approximate Aggregate Queries,"Anna C. Gilbert, Martin Strauss, Yannis Kotidis, S. Muthukrishnan"
1457,SIGMOD Record,1996,Incremental data Structures and Algorithms for Dynamic Query Interfaces,"Ben Shneiderman, Richard Beigel, Egemen Tanin"
1458,SIGMOD Conference,1997,The SR-tree: An Index Structure for High-Dimensional Nearest Neighbor Queries,"Norio Katayama, Shin'ichi Satoh"
1459,SIGMOD Record,1994,SEQUOIA 2000 Metadata Schema for Satellite Images,"Michael Stonebraker, Jean T. Anderson"
1460,SIGMOD Conference,2002,Archiving scientific data,"Sanjeev Khanna, Peter Buneman, Wang Chiew Tan, Keishi Tajima"
1461,SIGMOD Conference,2003,Extracting Structured Data from Web Pages,"Arvind Arasu, Hector Garcia-Molina"
1462,SIGMOD Record,1997,A Consumer Viewpoint on Mediator Languages - a Proposal for a Standard,"Eric Hughes, Leonard J. Seligman, Arnon Rosenthal, Scott Renner"
1463,VLDB,2001,A Data Warehousing Architecture for Enabling Service Provisioning Process,Yannis Kotidis
1464,SIGMOD Conference,1995,QBI: Query By Icons,"Antonio Massari, Panos K. Chrysanthis, Lorenzo Saladini, Stefano Pavani"
1465,VLDB,2001,Crawling the Hidden Web,"Sriram Raghavan, Hector Garcia-Molina"
1466,SIGMOD Record,2003,Peer-to-peer: harnessing the power of disruptive technologies,Mario A. Nascimento
1467,VLDB J.,2001,A graph-theoretic model for optimizing queries involving methods,"Yaw-Huei Chen, Chi-Sheng Shih, Chiang Lee"
1468,SIGMOD Record,1994,A TSQL2 Tutorial,"James Clifford, Ramez Elmasri, Michael D. Soo, Wolfgang K�fer, Nick Kline, Arie Segev, Suryanarayana M. Sripada, Fabio Grandi, John F. Roddick, Richard T. Snodgrass, Christian S. Jensen, Nikos A. Lorentzos, Ilsoo Ahn, Gad Ariav, Don S. Batory, T. Y. Cliff Leung, Curtis E. Dyreson, Krishna G. Kulkarni"
1469,SIGMOD Conference,1997,Dynamic Itemset Counting and Implication Rules for Market Basket Data,"Shalom Tsur, Rajeev Motwani, Sergey Brin, Jeffrey D. Ullman"
1470,SIGMOD Record,1998,Unbundling Active Functionality,"Hans Fritschi, Arne Koschel, G�nter von B�ltzingsloewen, Stella Gatziu"
1471,VLDB,2003,Checks and Balances: Monitoring Data Quality Problems in Network Traffic Databases,"Flip Korn, Yunyue Zhu, S. Muthukrishnan"
1472,VLDB,1998,The Cubetree Storage Organization,"Yannis Kotidis, Nick Roussopoulos"
1473,SIGMOD Record,1995,Multigranularity Locking in Multiple Job Classes Transaction Processing System,"Sheung-lun Hung, Shan-hoi Ng"
1474,SIGMOD Conference,2001,"A Robust, Optimization-Based Approach for Approximate Answering of Aggregate Queries","Vivek R. Narasayya, Gautam Das, Surajit Chaudhuri"
1475,VLDB,2002,Optimizing the Secure Evaluation of Twig Queries,"Sihem Amer-Yahia, Divesh Srivastava, SungRan Cho, Laks V. S. Lakshmanan"
1476,SIGMOD Record,1996,Illustra's Web DataBlade Module,John Gaffney
1477,SIGMOD Conference,1994,Sequence Query Processing,"Raghu Ramakrishnan, Miron Livny, Praveen Seshadri"
1478,VLDB,1997,Innovation in Database Management: Computer Science vs. Engineering,Kenneth R. Jacobs
1479,SIGMOD Conference,1995,OODB Indexing by Class-Division,"Sridhar Ramaswamy, Paris C. Kanellakis"
1480,VLDB,2000,"Toto, We're Not in Kansas Anymore: On Transitioning from Research to the Real (Invited Industrial Talk)",Michael J. Carey
1481,SIGMOD Record,2000,An Optimisation Scheme for Coalesce/Valid Time Selection Operator Sequences,Costas Vassilakis
1482,VLDB,2000,Automated Selection of Materialized Views and Indexes in SQL Databases,"Surajit Chaudhuri, Sanjay Agrawal, Vivek R. Narasayya"
1483,VLDB,2001,Efficient Management of Multiversion Documents by Object Referencing,"Vassilis J. Tsotras, Carlo Zaniolo, Shu-Yao Chien"
1484,VLDB,2001,Efficient Index Structures for String Databases,"Tamer Kahveci, Ambuj K. Singh"
1485,SIGMOD Conference,1996,Data Mining Techniques,Jiawei Han
1486,SIGMOD Record,1997,Extraction of Object-Oriented Structures from Existing Relational Databases,"Julia E. Hodges, Shekar Ramanathan"
1487,VLDB,2002,Multi-Dimensional Regression Analysis of Time-Series Data Streams,"Benjamin W. Wah, Yixin Chen, Jianyong Wang, Guozhu Dong, Jiawei Han"
1488,SIGMOD Conference,2000,"Proceedings of the 2000 ACM SIGMOD International Conference on Management of Data, May 16-18, 2000, Dallas, Texas, USA",?
1489,SIGMOD Record,1996,Dynamic Information Visualization,Yannis E. Ioannidis
1490,SIGMOD Record,2000,Comparative Analysis of Six XML Schema Languages,"Dongwon Lee, Wesley W. Chu"
1491,VLDB,1994,GraphDB: Modeling and Querying Graphs in Databases,Ralf Hartmut G�ting
1492,SIGMOD Record,1997,"The Five-Minute Rule Ten Years Later, and Other Computer Storage Rules of Thumb","Jim Gray, Goetz Graefe"
1493,VLDB,2001,Cache Fusion: Extending Shared-Disk Clusters with Shared Caches,"Tirthankar Lahiri, N. MacNaughton, Sashikanth Chandrasekaran, Wilson Chan, Vinay Srihari"
1494,SIGMOD Record,1997,WWW-UDK: A Web-based Environmental Meta-Information System,"Rudolf Legat, Arne Koschel, Andree Keitel, Ralf Kramer, Claudia Rolker, Ralf Nikolai, Peter C. Lockemann, Konrad Zirm"
1495,ACM Trans. Database Syst.,2003,On the computation of relational view complements,"Gottfried Vossen, Jens Lechtenb�rger"
1496,VLDB J.,2002,Database indexing for large DNA and protein sequence collections,"Robert W. Irving, Malcolm P. Atkinson, Ela Hunt"
1497,VLDB,2003,MARS: A System for Publishing XML from Mixed and Redundant Storage,"Alin Deutsch, Val Tannen"
1498,VLDB,1997,Incremental Organization for Data Recording and Warehousing,"S. Sudarshan, P. P. S. Narayan, Rama Kanneganti, H. V. Jagadish, S. Seshadri"
1499,SIGMOD Record,2003,Understanding the semantics of sensor data,Murali Mani
1500,SIGMOD Record,2003,Power efficient data gathering and aggregation in wireless sensor networks,"Ibrahim Korpeoglu, H�seyin �zg�r Tan"
1501,SIGMOD Conference,1994,Multi-Step Processing of Spatial Joins,"Ralf Schneider, Thomas Brinkhoff, Bernhard Seeger, Hans-Peter Kriegel"
1502,VLDB J.,2001,Combining multi-visual features for efficient indexing in a large image database,"Quan Z. Sheng, Anne H. H. Ngu, Ron Lei, Du Q. Huynh"
1503,SIGMOD Record,1996,Lifestreams: A Storage Model for Personal Data,"Eric Freeman, David Gelernter"
1504,VLDB J.,2003,Computing complete answers to queries in the presence of limited access patterns,Chen Li
1505,SIGMOD Record,2002,Report on the Web Dynamics Workshop at WWW 2002,"Alexandra Poulovassilis, Mark Levene"
1506,SIGMOD Conference,1994,DBLearn: A System Prototype for Knowledge Discovery in Relational Databases,"Yue Huang, Yandong Cai, Yongjian Fu, Nick Cercone, Jiawei Han"
1507,ACM Trans. Database Syst.,1998,Information Gathering in the World-Wide Web: The W3QL Query Language and the W3QS System,"David Konopnicki, Oded Shmueli"
1508,VLDB,2002,Advanced Database Technologies in a Diabetic Healthcare System,"Chenyi Xia, Wynne Hsu, Keng Lik Teo, Mong-Li Lee, Beng Chin Ooi, Pranab Kumar Mohanty"
1509,SIGMOD Conference,2000,"Counting, Enumerating, and Sampling of Execution Plans in a Cost-Based Query Optimizer","C�sar A. Galindo-Legaria, Florian Waas"
1510,SIGMOD Conference,1995,Parallel Evaluation of Multi-Join Queries,"Jan Flokstra, Annita N. Wilschut, Peter M. G. Apers"
1511,SIGMOD Conference,2000,Data Mining on an OLTP System (Nearly) for Free,"Erik Riedel, Gregory R. Ganger, David Nagle, Christos Faloutsos"
1512,VLDB,2003,A Platform Based on the Multi-dimensional Data Model for Analysis of Bio-Molecular Structures,"Srinath Srinivasa, Sujit Kumar"
